,name,summary,image,origin,publication_types,founded,parent_comp,hq,website,AuthorConnections,BookConnections,id
226,Jaico Publishing House,"
",-1,India,Unknown,1946,Unkown,Mumbai,www.jaicobooks.com,,,226
227,The Jarrold Group,"The Haynes Owner's Workshop Manuals (commonly known as Haynes Manuals) are a series of practical manuals from the British publisher Haynes Publishing Group. The series primarily focuses upon the maintenance and repair of automotive vehicles, covering a wide range of makes and models (300 models of car and 130 models of motorcycle); the manuals are aimed mainly at DIY enthusiasts rather than professional garage mechanics, as they lack the depth of coverage on particular vehicles or problems. The series includes a range of 'practical lifestyle' manuals in the same style for a range of topics, including domestic appliances and personal computers, digital photography, model railways, sport, animal care, men,[1]
babies,[2]
sex,[3] and women.[4] They also now publish the Bluffer's Guides collection.[5]
",-1,Unknown,Unknown,1770,Unkown,Unknown,Not available,,,227
228,The Jewish Publication Society,"Headline Publishing Group is a British publishing brand and former company. It was founded in 1986 by Tim Hely Hutchinson.[1] In 1993, Headline bought Hodder & Stoughton and the company became Hodder Headline Ltd. In 1999, Hodder Headline was acquired by WH Smith. It was acquired by Hachette Livre, from the WHSmith Group PLC, in 2005.[2]
",https://upload.wikimedia.org/wikipedia/en/thumb/6/60/Jps-logo.jpg/250px-Jps-logo.jpg,United States,Books,1888,Unkown,Philadelphia,jps.org,,,228
229,John Murray,"Heinemann is a publisher of professional resources and a provider of educational services established in 1978 in Portsmouth, New Hampshire, as a U.S. subsidiary of Heinemann UK. Today, the UK education imprint is owned by Pearson, the UK trade publications are owned by Penguin Random House and the US education imprint is owned by Houghton Mifflin Harcourt.
",https://upload.wikimedia.org/wikipedia/en/f/fa/John-Murray-logo.png,United Kingdom,Books,1768; 253 years ago (1768),Hachette UK,London,www.johnmurray.co.uk,,,229
230,Jones & Bartlett Learning,"
",-1,United States,Books,[2],[1],"Burlington, Massachusetts",jblearning.com,,,230
231,Karadi Tales,"
",https://upload.wikimedia.org/wikipedia/en/d/dc/KTC_Hi_res_logo_180x79.jpg,Unknown,Unknown,1996,Unkown,Unknown,Not available,,,231
232,Kensington Books,"Hesperus Press is an independent publishing house based in London, United Kingdom. It was founded in 2001. The publisher's motto, ""Et Remotissima Prope,"" is a Latin phrase which means ""Bringing near what is far"".[2] Hesperus Press has published some 300 works[3] by both classic and contemporary authors, including: Dante, Percy Bysshe Shelley, Dickens, Dostoyevsky, Flaubert, Kafka, Tolstoy, Woolf, Annie Dillard, and Aldous Huxley. Their series include: Hesperus Classics, Brief Lives, Poetic Lives, ON, Modern Voices, and Hesperus Worldwide.[4] Hesperus is also responsible for the best-seller The Hundred-Year-Old Man Who Climbed Out the Window and Disappeared by Swedish author Jonas Jonasson, released in July 2012.
",https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Kensington-logo.png/220px-Kensington-logo.png,United States,Books,1974,Unkown,New York City,www.kensingtonbooks.com,,,232
233,Kessinger Publishing,"
",https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Kessinger_logo.png/220px-Kessinger_logo.png,United States,Unknown,1988,Unkown,"Whitefish, Montana",www.kessinger.net,,,233
234,Kluwer Academic Publishers,"Heyday is an independent nonprofit publisher based in Berkeley, California.
",https://upload.wikimedia.org/wikipedia/en/thumb/e/eb/Springer.svg/250px-Springer.svg.png,Germany,Unknown,10 May 1842; 179 years ago (1842-05-10) (as Springer-Verlag),Unkown,Berlin,www.springer.com,,,234
235,Knockabout Comics,"The Office of Public Sector Information (OPSI) is the body responsible for the operation of His/Her Majesty's Stationery Office (HMSO) and of other public information services of the United Kingdom. The OPSI is part of the National Archives of the United Kingdom and is responsible for Crown copyright.
",-1,United Kingdom,Comics,1975,Unkown,London,www.knockabout.com,,,235
236,Kodansha,"Hodder & Stoughton is a British publishing house, now an imprint of Hachette.
",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/K%C5%8Ddansha_logo.png/170px-K%C5%8Ddansha_logo.png,Unknown,Unknown,"December 1, 1938; 82 years ago (December 1, 1938)",Unkown,Unknown,Not available,,,236
237,Kogan Page,"
",-1,United Kingdom,Books,1967,Unkown,London,koganpage.com,,,237
238,Koren Publishers Jerusalem,"Holland Park Press is an independent, privately owned, London-based publishing house. It was founded in 2009 by Bernadette Jansen op de Haar.
",https://upload.wikimedia.org/wikipedia/en/thumb/8/87/This_is_a_logo_for_Koren_Publishers_Jerusalem.jpg/120px-This_is_a_logo_for_Koren_Publishers_Jerusalem.jpg,Unknown,Unknown,1962,Unkown,Jerusalem,https://korenpub.com,,,238
239,Korero Press,"Holt McDougal is an American publishing company, a division of Houghton Mifflin Harcourt, that specializes in textbooks for use in High Schools.
",-1,United Kingdom,Books,Unknown,Unkown,London,www.koreropress.com,,,239
240,KTAV Publishing House,"The Hoover Institution on War, Revolution, and Peace is a conservative American public policy institution and research institution that promotes personal and economic liberty, free enterprise, and limited government.[2][3][4] Located in Stanford, California, on the campus of Stanford University, it began as a library founded in 1919 by Stanford alumnus Herbert Hoover, before he became President of the United States. The library, known as the Hoover Institution Library and Archives, houses multiple archives related to Hoover, World War I, World War II, and other world-historical events. 
",https://upload.wikimedia.org/wikipedia/en/7/74/Ktav.gif,United States,Unknown,1921 (100 years ago) (1921),Unkown,"Brooklyn, New York",http://www.ktav.com,,,240
241,Kumarian Press,"Caister Academic Press is an independent academic publishing company that produces books and ebooks on microbiology and molecular biology. The address for the editorial offices is in Poole, UK with worldwide sales and distribution through the Ingram Content Group. Published books include review volumes, practical manuals and reference texts aimed at the post-graduate, research and professional market.
",-1,United States,Books,1977,Lynne Rienner Publishers,"Boulder, Colorado",www.rienner.com,,,241
242,Ladybird Books,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Ladybird_Books_%282004%29.gif/220px-Ladybird_Books_%282004%29.gif,United Kingdom,Books,Loughborough,Penguin Random House,London,www.ladybird.co.uk,,,242
243,Last Gasp,"House of Anansi Press is a Canadian publishing company, founded in 1967 by writers Dennis Lee and Dave Godfrey. The company specializes in finding and developing new Canadian writers of literary fiction, poetry, and non-fiction.
",https://upload.wikimedia.org/wikipedia/commons/3/35/Last_Gasp.gif,Unknown,Books,"Berkeley, California",Unkown,"San Francisco, California",www.lastgasp.com,,,243
244,Leafwood Publishers,"
",https://upload.wikimedia.org/wikipedia/en/thumb/6/6a/Leafwood_Publishers_Logo.png/300px-Leafwood_Publishers_Logo.png,Unknown,Books,2000,Abilene Christian University Press,"Abilene, Texas",/http://www.leafwoodpublishers.com/,,,244
245,Left Book Club,"Humana Press was an American academic publisher of science, technology, and medical books and journals founded in 1976. It was bought by Springer Science+Business Media in 2006. 
",https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Left_Book_Club_logo.png/100px-Left_Book_Club_logo.png,United Kingdom,Books,1936,Unkown,London,Not available,,,245
246,Legend Books,"
",https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Random_House_logo.svg/220px-Random_House_logo.svg.png,Unknown,Unknown,1927; 94 years ago (1927),Unkown,Unknown,Not available,,,246
247,Lethe Press,"Ignatius Press, named for Saint Ignatius of Loyola, founder of the Jesuit order, is a Catholic publishing house based in San Francisco, California, US. It was founded in 1978 by Father Joseph Fessio. a Jesuit priest and former pupil of Pope Benedict XVI. In an interview in 1998, Fessio said, ""our objective is to support the teachings of the Church"".[2] Ignatius Press also produces Catholic World Report, Homiletic and Pastoral Review, Ignatius Insight and the blog Ignatius Insight Scoop.
",-1,United States,Books,2001,Unkown,"Amherst, Massachusetts",lethepressbooks.com,,,247
248,Liberty Fund,"Indiana University Press, also known as IU Press, is an academic publisher founded in 1950 at Indiana University that specializes in the humanities and social sciences. Its headquarters are located in Bloomington, Indiana. IU Press publishes 140 new books annually, in addition to 29 academic journals, and maintains a current catalog comprising some 2,000 titles.[2]
",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Liberty_Fund_logo_2020.svg/240px-Liberty_Fund_logo_2020.svg.png,Unknown,Unknown,1960; 61 years ago (1960),Unkown,Unknown,Not available,,,248
249,Library of America,"
",https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Library_of_America.JPG/250px-Library_of_America.JPG,United States,Books,1979,Unkown,New York City,www.loa.org,38,143,249
250,Lion Publishing,"Insomniac Press is a Canadian independent book publisher.
",https://upload.wikimedia.org/wikipedia/en/9/95/Lion_Hudson_logo.png,England,"Children's Bible Retelling, books, literature, ebooks, audio books",2017,[1],Oxford,www.lionhudson.com,,,250
251,Lippincott Williams & Wilkins,"International Universities Press, Inc. was a private publishing company of academic journals and books on psychotherapy and contiguous disciplines. It was established in 1944[1] and was based in Madison, CT. It published the following journals:[2]
",-1,United States,books,1998,Wolters Kluwer,Philadelphia,www.lww.com,,,251
252,"Little, Brown and Company","Founded in 1947, InterVarsity Press (IVP) is an American publisher of Christian books located in Westmont, Illinois. IVP focuses on publishing Christian books that speak to important cultural moments, provide tools for spiritual growth, and equip pastors, professors, and ministry leaders in their work.
",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Little_Brown_Company_logo.svg/220px-Little_Brown_Company_logo.svg.png,United States/United Kingdom,Unknown,1837; 184 years ago (1837),Hachette Book Group USA,New York City,littlebrown.com,,,252
253,Liverpool University Press,"Samuel Howard Sloan (born September 7, 1944) is an American perennial candidate and former broker-dealer. In 1978, he was the last non-lawyer to argue a case pro se before the United States Supreme Court. The court eventually prohibited non-lawyers from arguing cases before them in 2013.[1][2]
",https://upload.wikimedia.org/wikipedia/en/thumb/c/cb/Liverpool-University-Press.png/220px-Liverpool-University-Press.png,United Kingdom,Books,1899,University of Liverpool,Liverpool,www.liverpooluniversitypress.co.uk,,,253
254,Llewellyn Worldwide,"The Islamic Texts Society (ITS) is a peer-reviewed, British publishing house which concentrates on academic and general titles on Islam.[1]  It is registered as an educational charity in the UK.[2]
",https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/Llevellyn-logo.PNG/220px-Llevellyn-logo.PNG,United States,Books,1901,Unkown,"Woodbury, Minnesota",www.llewellyn.com,,,254
255,Longman,"Island Press is a nonprofit, environmental publisher based in Washington, D.C., United States, that specializes in natural history, ecology, conservation, and the built environment. Established in 1984,[3] Island Press generates about half of its revenue through sales and half through donations by organizations and individuals.
",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Pearson_Longman_logo.png/220px-Pearson_Longman_logo.png,England,Reference works,1724; 297 years ago (1724),Pearson Education,Harlow,www.pearsonelt.com,112,398,255
256,LPI Media,"Ivyspring International Publisher is a publisher of scientific literature including open-access scientific journals, such as the International Journal of Medical Sciences and International Journal of Biological Sciences.
",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/LPIlogo.png/200px-LPIlogo.png,Unknown,Unknown,Unknown,Unkown,Unknown,Not available,,,256
257,The Lutterworth Press,"Joseph Malaby Dent (30 August 1849 – 9 May 1926) was a British book publisher who produced the Everyman's Library series.
",-1,United Kingdom,Books,1932,Unkown,"Cambridge, England",www.lutterworth.com,,,257
258,Macmillan Publishers,"
",https://upload.wikimedia.org/wikipedia/en/e/e8/Macmillan_Publishers_Logo_2020.png,United Kingdom,academic journals,1843; 178 years ago (1843),Holtzbrinck Publishing Group,Equitable Building,macmillan.com,,,258
259,Mainstream Publishing,"Jarrold & Sons Ltd is a Norwich–based company, founded in 1770 at Woodbridge, Suffolk,[1] before relocating to Norfolk in 1823. 
",-1,"Scotland, UK",Books,1978,Random House,Edinburgh,Not available,,,259
260,Manchester University Press,"The Jewish Publication Society (JPS), originally known as the Jewish Publication Society of America, is the oldest nonprofit, nondenominational publisher of Jewish works in English.  Founded in Philadelphia in 1888, by reform Rabbi Joseph Krauskopf among others, JPS is especially well known for its English translation of the Hebrew Bible, the JPS Tanakh.
",-1,Unknown,"Books, academic journals",1904,University of Manchester,"Manchester, England",https://manchesteruniversitypress.co.uk/,,,260
261,Mandrake of Oxford,"John Lane (14 March 1854 – 2 February 1925) was a British publisher who co-founded The Bodley Head with Charles Elkin Mathews.[1]
",-1,United Kingdom,Books,1986; 35 years ago (1986)(as Golden Dawn Publications),Unkown,Oxford,www.mandrake.uk.net,,,261
262,Mandrake Press,"
",-1,United Kingdom,Books,1929; 92 years ago (1929)(as Mandrake Press Ltd),Unkown,London,www.mandrake-press.co.uk,,,262
263,Manning Publications,"Jones & Bartlett Learning, a division of Ascend Learning,[1] is a scholarly publisher. The name comes from Donald W. Jones, the company's founder, and Arthur Bartlett, the first editor.[citation needed]
",-1,United States,Books,1990,Unkown,"Shelter Island, New York",Manning Publications,,,263
264,Manor House Publishing,"
",-1,Canada,Books,1998; 23 years ago (1998),Unkown,Ancaster,manor-house.biz,,,264
265,Marion Boyars Publishers,"Kensington Publishing Corp. is an American, New York-based publishing house founded in 1974 by Walter Zacharius (1923–2011)[2] and Roberta Bender Grossman (1946–1992).[3] Kensington is known as “America’s Independent Publisher.” It remains a multi-generational family business, with Steven Zacharius succeeding his father as president and CEO, and Adam Zacharius as general manager.
",-1,United Kingdom,Books,1975,Unkown,London,www.marionboyars.co.uk,,,265
266,Mark Batty Publisher,"Kessinger Publishing LLC is an American print on demand publishing company located in Whitefish, Montana that specializes in rare, out of print books.[1][2]
",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Mark_Batty_Publisher_logo.gif/180px-Mark_Batty_Publisher_logo.gif,United States,Books,2003; 18 years ago (2003),Unkown,Brooklyn,Not available,,,266
267,Marshall Cavendish,"Springer Science+Business Media, commonly known as Springer, is a German multinational publishing company of books, e-books and peer-reviewed journals in science, humanities, technical and medical (STM) publishing.[1]
",https://upload.wikimedia.org/wikipedia/en/e/ee/Marshall_cavendish_logo.gif,Singapore,Unknown,1968; 53 years ago (1968),Times Publishing Group,Hougang,www.marshallcavendish.com,,,267
268,Marshall Pickering,"Knockabout Comics is a UK publisher and distributor of underground and alternative books and comics. They have a long-standing relationship with underground comix pioneer Gilbert Shelton.
",-1,United Kingdom,Books,1981,Unkown,Unknown,Not available,,,268
269,Martinus Nijhoff Publishers,"
",https://upload.wikimedia.org/wikipedia/en/5/57/MNP_logo.png,Belgium,"Books, Journals, E-books and Online platforms",1853,Brill Publishers,Leiden,www.brill.com/brill-nijhoff,,,269
270,Matthias Media,"Korero Press is a London-based art book publisher. Its list of books mainly includes pop culture, street art, erotica and horror titles. It has published books by contemporary artists Ron English, Patrick J. Jones and Graham Humphreys. Korero Press distribute their books to traditional bricks and mortar bookshops, and sell directly from their website.
",https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Matthias_Media_logo.png/300px-Matthias_Media_logo.png,Australia,"Magazines, books, tracts, audiobooks",Unknown,Unkown,Sydney,www.matthiasmedia.com.au,,,270
271,McClelland & Stewart,"
",https://upload.wikimedia.org/wikipedia/en/thumb/3/32/McClelland_%26_Stewart_Logo.png/200px-McClelland_%26_Stewart_Logo.png,Canada,Books,1906; 115 years ago (1906),Penguin Random House,Toronto,www.mcclelland.com,"8,10,15,37,81,118","22,45,49,52,136,246,435",271
272,McFarland & Company,"Kumarian Press was an independent academic publishing company established in 1977 in West Hartford, CT by Krishna Kumari Sondhi and Ian Mayo-Smith. The company was named after the founders (Sondhi's middle name and Mayo Smith's first name combined). The company began publishing titles on management for training programs in international development, some of them written by the founders.[1]  International development remains the core of the publishing program but has expanded over the years to include books on human rights, civil society, peacebuilding, governance, gender studies, microfinance and international health.  It also distributes titles for Oxfam Great Britain,[2] International Federation of Red Cross and Red Crescent Societies[3] and The United Nations Development Fund for Women.[4] Kumarian was sold in April 2008 to Stylus Publishing and was an imprint of Stylus, located in Sterling, VA. In April 2013 Kumarian was sold to Lynne Rienner Publishers of Boulder, CO. [5][6]
",https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/McFarland_%26_Company_logo.JPG/220px-McFarland_%26_Company_logo.JPG,United States,"academic and adult nonfiction, monographs, reference material, scholarly journals",1979,Unkown,"Jefferson, North Carolina",mcfarlandbooks.com,,,272
273,McGraw-Hill Education,"Ladybird Books is a London-based publishing company, trading as a stand-alone imprint within the Penguin Group of companies. The Ladybird imprint publishes mass-market children's books.
",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/McGraw-Hill_Education_wordmark.svg/220px-McGraw-Hill_Education_wordmark.svg.png,United States,Adaptive learning,1888,Unkown,New York City,www.mheducation.com,,,273
274,Medknow Publications,"Last Gasp is a San Francisco-based[5] book publisher with a lowbrow art and counterculture focus.[6] Owned and operated by Ron Turner, for most of its existence Last Gasp was a publisher, distributor, and wholesaler of underground comix[7] and books of all types.
",-1,India,Academic journals,1997,Wolters Kluwer,Mumbai,www.medknow.com,,,274
275,Melbourne University Publishing,"Leaf Books was a small independent publishing house based in South Wales. It specialised in the publication of short fiction, micro-fiction and poetry by both new and established authors.
",-1,Australia,Books,1922; 99 years ago (1922),University of Melbourne,Melbourne,www.mup.com.au,,,275
276,Mercier Press,"Leafwood Publishers (founded in 2000) is an imprint of Abilene Christian University Press located in Abilene, Texas.
",-1,Ireland,Unknown,1944,Unkown,Cork,www.mercierpress.ie,,,276
277,Methuen Publishing,"Abilene Christian University Press, also known as ACU Press, is an Abilene, Texas-based university press that is connected with Abilene Christian University.[1] Since being formed it has released or acquired 456 titles and as of 2013[update] the press releases, on average, thirty-six titles per year. The press is a member of the Association of American University Presses. The press publishes works in the areas of ""Christianity and Literature; Faith-Based Higher Education; History and Theology of the Stone-Campbell Movement; Texas History and Culture.""[2] Leafwood Publishers is an imprint of ACU Press.
",-1,United Kingdom,books,1889; 132 years ago (1889),Unkown,North Yorkshire,www.methuen.co.uk,,,277
278,Michael O'Mara Books,"The Left Book Club was a publishing group that exerted a strong left-wing influence in Great Britain from 1936 to 1948.
",-1,United Kingdom,Books,1985,Unkown,London,www.mombooks.com,,,278
279,Michigan State University Press,"
",-1,United States,Academic journals,1947,Michigan State University,"East Lansing, Michigan",www.msupress.org,,,279
280,Microsoft Press,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Microsoft_press.png/220px-Microsoft_press.png,United States,Books,Unknown,Microsoft,Unknown,microsoftpressstore.com,,,280
281,The Miegunyah Press,"
",-1,Australia,Books,1922; 99 years ago (1922),University of Melbourne,Melbourne,www.mup.com.au,,,281
282,Miles Kelly Publishing,"Libertas Academica (LA) is an open access academic journal publisher specializing in the biological sciences and clinical medicine. It was acquired by SAGE Publications in September 2016.[1]
",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Miles_Kelly_Logo.png/220px-Miles_Kelly_Logo.png,United Kingdom,Books,1996 (1996),Unkown,Bardfield End Green,www.mileskelly.net,,,282
283,Mills & Boon,"Liberty Fund, Inc. is an American private educational foundation headquartered in Indianapolis, founded by Pierre F. Goodrich. Through publishing, conferences, and educational resources, the operating mandate of the Liberty Fund was set forth in an unpublished memo written by Goodrich ""to encourage the study of the ideal of a society of free and responsible individuals"".[2][3][4][5]
",-1,United Kingdom,Books,1908 (1908),Harlequin Enterprises,"London Bridge, London",www.millsandboon.co.uk,,,283
284,Minerva Press,"The Library of America (LOA) is a nonprofit publisher of classic American literature. Founded in 1979 with seed money from the National Endowment for the Humanities and the Ford Foundation, the LOA has published over 300 volumes by authors ranging from Mark Twain to Philip Roth, Nathaniel Hawthorne to Saul Bellow, and includes the selected writings of several U.S. presidents.[2]
",-1,United Kingdom,Books,Unknown,Unkown,London,Not available,,,284
285,MIT Press,"Lion Hudson Limited is British book publishing company.[4] The company is owed by the AFD Group in the Isle of Man with operations in Oxford, England, UK. It was formed in August 2017 by the AFD Group upon the acquisition of the assets of ""Lion Hudson PLC in administration"" (now liquidated). It had its origins as Lion Publishing (founded in 1971) and Hudson International (founded in 1977).
",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/MIT_Press_logo_%28black%29.svg/150px-MIT_Press_logo_%28black%29.svg.png,United States,Books,1962; 59 years ago (1962),Massachusetts Institute of Technology,"Cambridge, Massachusetts",mitpress.mit.edu,55,191,285
286,Mkuki na Nyota,"Lion Hudson Limited is British book publishing company.[4] The company is owed by the AFD Group in the Isle of Man with operations in Oxford, England, UK. It was formed in August 2017 by the AFD Group upon the acquisition of the assets of ""Lion Hudson PLC in administration"" (now liquidated). It had its origins as Lion Publishing (founded in 1971) and Hudson International (founded in 1977).
",-1,United Republic of Tanzania,Books,1991,Unkown,"24 Samora Ave, Dar es Salaam, Tanzania",www.mkukinanyota.com,,,286
287,Modern Library,"Lion Hudson Limited is British book publishing company.[4] The company is owed by the AFD Group in the Isle of Man with operations in Oxford, England, UK. It was formed in August 2017 by the AFD Group upon the acquisition of the assets of ""Lion Hudson PLC in administration"" (now liquidated). It had its origins as Lion Publishing (founded in 1971) and Hudson International (founded in 1977).
",https://upload.wikimedia.org/wikipedia/en/8/89/Modern_Library_logo.png,United States,Books,1917,Random House,New York City,modernlibrary.com,,,287
288,Morgan James Publishing,"Lionel Leventhal is a British publisher of books on military history and related topics, whose eponymous company was established in 1967.
",https://upload.wikimedia.org/wikipedia/en/thumb/3/35/Morgan_James_Publishing_logo.jpg/150px-Morgan_James_Publishing_logo.jpg,United States,Books,"2003 (2003) in Virginia, United States","Morgan James, LLC",New York City,morgan-james-publishing.com,,,288
289,Mother Tongue Publishing,"Lippincott Williams & Wilkins (LWW) is an American imprint of the publishing conglomerate Wolters Kluwer. Under the LWW brand, Wolters Kluwer publishes scientific, technical, and medical content such as textbooks, reference works, and over 275 scientific journals (most of which are medical or other public health journals). Publications are aimed at physicians, nurses, clinicians, and students.
",-1,Canada,Books,1995,Unkown,Unknown,mothertonguepublishing.com,,,289
290,Myriad Editions,"
",-1,United Kingdom,Books,1993; 28 years ago (1993),New Internationalist,Oxford,myriadeditions.com,,,290
291,Naiad Press,"Liverpool University Press (LUP), founded in 1899, is the third oldest university press in England after Oxford University Press and Cambridge University Press. It specialises in modern languages, literatures, history, and visual culture and currently publishes more than 150 books a year, as well as 34 academic journals.[2] LUP's books are distributed in North America by Oxford University Press.[3]
",https://upload.wikimedia.org/wikipedia/en/9/99/Naiad_Press_logo.jpg,United States,Books,1973,Unkown,"Tallahassee, Florida",www.naiadpress.com,,,291
292,Nauka,"Llewellyn Worldwide (formerly Llewellyn Publications) is a New Age publisher based in Woodbury, Minnesota. Llewellyn's mission is to ""serve the trade and consumers worldwide with options and tools for exploring new worlds of mind & spirit, thereby aiding in the quests of expanded human potential, spiritual consciousness, and planetary awareness.""
",-1,USSR,"books, scientific journals",April 14 1923; 98 years ago (April 14 1923),Unkown,Moscow,www.naukaran.com,,,292
293,NavPress,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Nav_Primary_Horizontal.jpg/300px-Nav_Primary_Horizontal.jpg,Unknown,Unknown,"April, 1933",Unkown,Unknown,Not available,,,293
294,New Beacon Books,"The Lutterworth Press, one of the oldest independent British publishing houses, has  traded since the late eighteenth century - initially as the Religious Tract Society (RTS). The Lutterworth imprint, named after the small English town of Lutterworth in Leicestershire, where John Wyclif served as Rector in the fourteenth century, has been used since 1932, and Lutterworth continued most of the then current RTS publications. The main areas have been religion, children's books and general adult non-fiction.
",https://upload.wikimedia.org/wikipedia/en/thumb/7/79/New_Beacon_Books_Logo.jpg/250px-New_Beacon_Books_Logo.jpg,UK,Unknown,1966; 55 years ago (1966),Unkown,Stroud Green Road,https://www.newbeaconbooks.com/,,,294
295,New Directions Publishing,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/80_8th_Avenue_from_the_Port_Authority_building.gk.jpg/200px-80_8th_Avenue_from_the_Port_Authority_building.gk.jpg,United States,Books,1936,Unkown,New York City,ndbooks.com,"5,86","2,8,287,288,290,291,298",295
296,New English Library,"
",-1,Unknown,Unknown,1961; 60 years ago (1961),Unkown,Unknown,Not available,,,296
297,New Holland Publishers,"Manchester University Press is the university press of the University of Manchester, England and a publisher of academic books and journals. Manchester University Press has developed into an international publisher. It maintains its links with the University.
",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/New_Holland_Publishers.jpg/180px-New_Holland_Publishers.jpg,"United Kingdom, Australia & New Zealand",Books,1955 (1955),Unkown,Westminster Bridge Road,newhollandpublishers.com,,,297
298,New Village Press,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/New_Village_Press.jpg/220px-New_Village_Press.jpg,United States,Books,2005,Unkown,"New York, New York",newvillagepress.org,,,298
299,New York Review Books,"
",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/New_York_Review_Books_logo.png/250px-New_York_Review_Books_logo.png,United States,Books,1999,The New York Review of Books,New York City,www.nyrb.com,,,299
300,New Win Publishing,"Manning Publications is an American publisher established by Lee Fitzpatrick and Marjan Bace that publishes books on computer technology topics, with a particular focus on web development. Their distinctive brand features illustrations from the 1805 edition of Sylvain Maréchal's four-volume compendium of regional dress customs on the covers of many of their books.
",-1,United States,Books,1974,Academic Learning Company,"El Monte, California",newwinpublishing.com,,,300
301,No Starch Press,"Marion Boyars Publishers is an independent publishing company located in Great Britain, publishing books that focus on the humanities and social sciences. The company was formed in 1975. When
Marion Boyars died in 1999, her daughter Catheryn Kilgarriff took over and is currently the managing director of the company.
",https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Nostarch_logo.png/220px-Nostarch_logo.png,United States,Books,1994 (1994),Unkown,San Francisco,www.nostarch.com,,,301
302,Northwestern University Press,"Mark Batty Publisher is an American independent book-publishing company, specializing in illustrated books on the art of communication: photography, art and design, graffiti and urban art; pop culture, typography and other related topics.
",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/PressBuildingS.jpg/220px-PressBuildingS.jpg,United States,Books,1893,Northwestern University,"Evanston, Illinois",nupress.northwestern.edu,,,302
303,Nosy Crow,"Marshall Cavendish Education Pte. Ltd., commonly known as Marshall Cavendish, is a Singaporean publishing company for books, business directories and magazines. 
",https://upload.wikimedia.org/wikipedia/en/thumb/a/ad/Nosy_Crow_logo.jpg/75px-Nosy_Crow_logo.jpg,United Kingdom,Children's Books,2010,Unkown,London,www.nosycrow.com,,,303
304,Oberon Books,"Marshall Pickering  was formed in 1981 from two long established Christian publishers.  Marshall Morgan and Scott, a London-based predominantly Baptist publishing house, which had acquired a number of publishing companies over the years, such as Bagsters (Bible publishers since 1794) and Oliphants.  Pickering and Inglis was a long established Glasgow based publisher, publishing largely for the non conformist church in Scotland with many Brethren publications. Marshall Pickering was acquired by Zondervan in 1983.[1]
",https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Oberon_logo_clipped.jpg/220px-Oberon_logo_clipped.jpg,United Kingdom,Books,1985,Unkown,Islington,oberonbooks.com,,,304
305,Open Book Publishers,"HarperCollins Publishers LLC is one of the Big Five English-language publishing companies, alongside Penguin Random House, Simon & Schuster, Hachette, and Macmillan. The company is headquartered in New York City and is a subsidiary of News Corp. The name is a combination of several publishing firm names: Harper & Row, an American publishing company acquired in 1987—whose own name was the result of an earlier merger of Harper & Brothers (founded in 1817) and Row, Peterson & Company—together with Scottish publishing company William Collins, Sons (founded in 1819), acquired in 1989.
",https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/OBP_logo.JPG/350px-OBP_logo.JPG,United Kingdom,Books,2008 (2008),Unkown,Cambridge,www.openbookpublishers.com,,,305
306,Open Court Publishing Company,"Martinus Nijhoff Publishers was an independent academic publishing company dating back to the nineteenth century, which is now an imprint of Brill Publishers. The name was changed to Brill–Nijhoff in 2013.[1] Nijhoff's portfolio focuses on areas in public international law, human rights, on humanitarian law and increasingly on international relations. Its annual publication program consists of over 20 academic journals, 20 annuals, and some 120 new book titles. Its back-list comprises over 2,000 titles.
",-1,United States,Books,1887,Carus Publishing Company,Chicago,www.opencourtbooks.com,,,306
